"game_id","player_id","team_id","timeOnIce","assists","goals","pim","shots","saves","powerPlaySaves","shortHandedSaves","evenSaves","shortHandedShotsAgainst","evenShotsAgainst","powerPlayShotsAgainst","decision","savePercentage","powerPlaySavePercentage","evenStrengthSavePercentage"
"2014030414","8470645","16",3592,0,0,0,25,24,6,0,18,0,19,6,"W",96,100,94.7368421052632
"2014030415","8470645","16",3600,0,0,0,32,31,2,1,28,1,29,2,"W",96.875,100,96.551724137931
"2014030415","8471750","14",3546,0,0,0,29,27,2,0,25,0,27,2,"L",93.1034482758621,100,92.5925925925926
"2014030416","8471750","14",3445,0,0,0,32,30,7,0,23,0,25,7,"L",93.75,100,92
"2014030416","8470645","16",3593,0,0,0,25,25,3,1,21,1,21,3,"W",100,100,100
"2015030141","8468685","3",1200,0,0,0,11,10,0,0,10,0,11,0,"",90.9090909090909,NA,90.9090909090909
"2015030141","8477293","3",2394,0,0,0,19,16,4,0,12,1,13,5,"L",84.2105263157895,80,92.3076923076923
"2015030141","8473553","5",3587,0,0,0,37,35,7,3,25,3,26,8,"W",94.5945945945946,87.5,96.1538461538462
"2015030142","8468685","3",3598,0,0,0,31,29,3,0,26,0,26,5,"W",93.5483870967742,60,100
"2015030142","8473553","5",3446,0,0,0,28,24,3,1,20,1,24,3,"L",85.7142857142857,100,83.3333333333333
"2015030143","8476899","5",3599,0,0,0,17,16,3,0,13,1,13,3,"W",94.1176470588235,100,100
"2015030143","8468685","3",3527,0,0,0,30,28,2,2,24,2,25,3,"L",93.3333333333333,66.6666666666667,96
"2015030144","8476899","5",3600,0,0,0,31,31,6,0,25,0,25,6,"W",100,100,100
"2015030144","8468685","3",1564,0,0,0,18,14,1,0,13,0,15,3,"L",77.7777777777778,33.3333333333333,86.6666666666667
"2015030144","8477293","3",2036,0,0,0,14,13,3,1,9,1,9,4,"",92.8571428571429,75,100
"2015030145","8468685","3",2400,0,0,0,23,17,1,0,16,0,21,2,"L",73.9130434782609,50,76.1904761904762
"2015030145","8477293","3",1200,0,0,0,5,5,0,0,5,0,5,0,"",100,NA,100
"2015030145","8476899","5",3600,0,0,2,41,38,7,0,31,0,33,8,"W",92.6829268292683,87.5,93.9393939393939
"2015030181","8474889","28",3584,0,0,0,24,21,4,1,16,2,17,5,"W",87.5,80,94.1176470588235
"2015030181","8471734","26",3503,0,0,0,23,19,4,0,15,0,18,5,"L",82.6086956521739,80,83.3333333333333
"2015030182","8474889","28",3600,0,0,0,27,26,6,0,20,0,20,7,"W",96.2962962962963,85.7142857142857,100
"2015030182","8471734","26",3504,0,0,0,23,21,9,0,12,0,13,10,"L",91.304347826087,90,92.3076923076923
"2015030183","8471734","26",3813,0,0,0,30,29,3,0,26,0,27,3,"W",96.6666666666667,100,96.2962962962963
"2015030183","8474889","28",3827,0,0,0,24,22,8,1,13,1,14,9,"L",91.6666666666667,88.8888888888889,92.8571428571429
"2015030184","8471734","26",3536,0,0,0,29,26,4,0,22,0,22,7,"L",89.6551724137931,57.1428571428571,100
"2015030184","8474889","28",3585,0,0,0,28,26,4,0,22,0,24,4,"W",92.8571428571429,100,91.6666666666667
"2015030185","8474889","28",3600,0,0,0,22,19,0,1,18,1,21,0,"W",86.3636363636364,NA,85.7142857142857
"2015030185","8471734","26",3379,0,0,0,27,22,4,0,18,0,23,4,"L",81.4814814814815,100,78.2608695652174
"2013030161","8470645","16",6026,0,0,0,52,48,9,3,36,3,40,9,"L",92.3076923076923,100,90
"2013030161","8468011","19",6007,0,0,0,42,39,4,0,35,0,37,5,"W",92.8571428571429,80,94.5945945945946
"2013030162","8470645","16",3950,0,0,0,31,27,9,1,17,1,20,10,"L",87.0967741935484,90,85
"2013030162","8468011","19",3846,0,0,0,28,25,3,0,22,0,25,3,"W",89.2857142857143,100,88
"2013030163","8468011","19",3562,0,0,0,24,23,4,0,19,0,20,4,"L",95.8333333333333,100,95
"2013030163","8470645","16",3600,0,0,0,34,34,7,0,27,0,27,7,"W",100,100,100
"2013030164","8468011","19",4277,0,0,0,34,30,1,0,29,0,32,2,"L",88.2352941176471,50,90.625
"2013030164","8470645","16",4277,0,0,0,33,30,6,1,23,1,25,7,"W",90.9090909090909,85.7142857142857,92
"2013030165","8470645","16",4056,0,0,0,29,27,1,2,24,2,26,1,"W",93.1034482758621,100,92.3076923076923
"2013030165","8468011","19",4056,0,0,0,30,27,6,0,21,0,24,6,"L",90,100,87.5
"2013030166","8468011","19",3600,0,0,0,27,22,5,0,17,0,21,6,"L",81.4814814814815,83.3333333333333,80.9523809523809
"2013030166","8470645","16",3600,0,0,0,36,35,11,0,24,0,25,11,"W",97.2222222222222,100,96
"2015030131","8473461","4",3487,0,0,0,31,29,12,2,15,2,16,13,"L",93.5483870967742,92.3076923076923,93.75
"2015030131","8474651","15",3594,0,0,0,19,19,8,1,10,1,10,8,"W",100,100,100
"2015030132","8473461","4",3479,0,0,0,23,19,0,0,19,0,21,2,"L",82.6086956521739,0,90.4761904761905
"2015030132","8474651","15",3600,0,0,0,42,41,8,0,33,0,34,8,"W",97.6190476190476,100,97.0588235294118
"2015030133","8474651","15",3600,1,0,0,32,31,5,1,25,1,26,5,"W",96.875,100,96.1538461538462
"2015030133","8473461","4",3600,0,0,0,27,21,8,0,13,0,14,13,"L",77.7777777777778,61.5384615384615,92.8571428571429
"2015030134","8474651","15",3539,0,0,0,25,23,0,0,23,0,24,1,"L",92,0,95.8333333333333
"2015030134","8473607","4",3600,0,0,0,32,31,2,0,29,0,30,2,"W",96.875,100,96.6666666666667
"2015030135","8473607","4",3600,0,0,0,44,44,4,5,35,5,35,4,"W",100,100,100
"2015030135","8474651","15",3550,0,0,0,10,9,5,0,4,0,5,5,"L",90,100,80
"2015030136","8474651","15",3587,0,0,0,26,26,3,1,22,1,22,3,"W",100,100,100
"2015030136","8473607","4",3505,0,0,0,29,28,9,0,19,0,20,9,"L",96.551724137931,100,95
"2014030131","8470594","5",3535,0,0,0,38,36,6,0,30,0,31,7,"L",94.7368421052632,85.7142857142857,96.7741935483871
"2014030131","8468685","3",3600,0,0,0,25,24,1,1,22,1,23,1,"W",96,100,95.6521739130435
"2014030132","8470594","5",3600,0,0,0,26,23,12,1,10,1,12,13,"W",88.4615384615385,92.3076923076923,83.3333333333333
"2014030132","8468685","3",3514,0,0,0,22,18,3,2,13,2,15,5,"L",81.8181818181818,60,86.6666666666667
"2014030133","8468685","3",3600,0,0,0,24,23,2,1,20,1,21,2,"W",95.8333333333333,100,95.2380952380952
"2014030133","8470594","5",3545,0,0,0,26,24,3,0,21,0,23,3,"L",92.3076923076923,100,91.304347826087
"2014030134","8468685","3",3794,0,0,0,23,22,4,1,17,1,18,4,"W",95.6521739130435,100,94.4444444444444
"2014030134","8470594","5",3794,0,0,0,24,22,1,2,19,2,21,1,"L",91.6666666666667,100,90.4761904761905
"2014030135","8470594","5",4230,0,0,0,36,34,8,0,26,0,27,9,"L",94.4444444444444,88.8888888888889,96.2962962962963
"2014030135","8468685","3",4245,0,0,0,38,37,4,0,33,0,34,4,"W",97.3684210526316,100,97.0588235294118
"2014030311","8471750","14",3539,0,0,0,30,28,2,0,26,0,28,2,"L",93.3333333333333,100,92.8571428571429
"2014030311","8468685","3",3600,0,0,0,24,23,1,1,21,1,21,2,"W",95.8333333333333,50,100
"2014030312","8471750","14",3600,0,0,0,37,35,11,5,19,5,19,13,"W",94.5945945945946,84.6153846153846,100
"2014030312","8468685","3",3600,0,0,0,26,20,6,2,12,3,14,9,"L",76.9230769230769,66.6666666666667,85.7142857142857
"2014030313","8468685","3",3777,0,0,0,40,34,0,1,33,1,38,1,"L",85,0,86.8421052631579
"2014030313","8471750","14",3805,0,0,0,28,23,0,0,23,0,26,2,"W",82.1428571428571,0,88.4615384615385
"2014030314","8468685","3",3600,0,0,0,39,38,7,0,31,0,32,7,"W",97.4358974358974,100,96.875
"2014030314","8471750","14",3600,0,0,0,24,19,1,1,17,1,20,3,"L",79.1666666666667,33.3333333333333,85
"2014030315","8471750","14",3600,0,0,0,26,26,4,1,21,1,21,4,"W",100,100,100
"2014030315","8468685","3",3410,0,0,0,22,20,2,2,16,2,17,3,"L",90.9090909090909,66.6666666666667,94.1176470588235
"2014030316","8468685","3",3600,0,0,0,39,36,3,2,31,2,33,4,"W",92.3076923076923,75,93.9393939393939
"2014030316","8471750","14",2834,1,0,0,26,21,3,1,17,1,22,3,"L",80.7692307692308,100,77.2727272727273
"2014030316","8476883","14",607,0,0,0,7,6,2,1,3,1,3,3,"",85.7142857142857,66.6666666666667,100
"2014030317","8471750","14",3600,1,0,0,22,22,2,0,20,0,20,2,"W",100,100,100
"2014030317","8468685","3",3376,0,0,0,25,23,0,0,23,0,25,0,"L",92,NA,92
"2013030151","8468524","30",4047,0,0,0,31,26,1,0,25,0,30,1,"L",83.8709677419355,100,83.3333333333333
"2013030151","8473575","21",3897,0,0,0,33,29,3,2,24,2,27,4,"W",87.8787878787879,75,88.8888888888889
"2013030152","8468524","30",1919,0,0,0,14,11,0,0,11,0,14,0,"L",78.5714285714286,NA,78.5714285714286
"2013030152","8475311","30",1562,0,0,0,14,14,2,1,11,1,11,2,"",100,100,100
"2013030152","8473575","21",3600,0,0,0,32,30,7,0,23,1,24,7,"W",93.75,100,95.8333333333333
"2013030153","8473575","21",3875,0,0,0,46,45,6,1,38,1,39,6,"L",97.8260869565217,100,97.4358974358974
"2013030153","8475311","30",3884,0,0,0,22,22,4,2,16,2,16,4,"W",100,100,100
"2013030154","8473575","21",3446,0,0,0,32,30,3,0,27,0,28,4,"L",93.75,75,96.4285714285714
"2013030154","8475311","30",3572,0,0,0,12,11,3,1,7,1,8,3,"W",91.6666666666667,100,87.5
"2013030155","8475311","30",3794,0,0,0,35,31,5,0,26,1,29,5,"L",88.5714285714286,100,89.6551724137931
"2013030155","8473575","21",3739,0,0,0,32,29,4,1,24,1,27,4,"W",90.625,100,88.8888888888889
"2013030156","8473575","21",3492,0,0,0,21,18,2,1,15,1,17,3,"L",85.7142857142857,66.6666666666667,88.2352941176471
"2013030156","8475311","30",3600,0,0,0,23,21,5,0,16,1,16,6,"W",91.304347826087,83.3333333333333,100
"2013030157","8468524","30",795,0,0,0,1,1,0,0,1,0,1,0,"W",100,NA,100
"2013030157","8475311","30",3107,0,0,0,21,17,3,1,13,1,16,4,"",80.9523809523809,75,81.25
"2013030157","8473575","21",3899,0,0,0,35,30,1,1,28,1,33,1,"L",85.7142857142857,100,84.8484848484848
"2015030151","8471227","30",3560,0,0,0,31,28,15,0,13,0,15,16,"L",90.3225806451613,93.75,86.6666666666667
"2015030151","8470140","25",3600,0,0,0,22,22,0,1,21,1,21,0,"W",100,NA,100
"2015030152","8471227","30",3560,0,0,0,28,26,4,1,21,1,23,4,"L",92.8571428571429,100,91.304347826087
"2015030152","8470140","25",3541,0,0,0,26,25,1,2,22,2,22,2,"W",96.1538461538462,50,100
"2015030153","8470140","25",3536,0,0,0,24,20,2,0,18,0,21,3,"L",83.3333333333333,66.6666666666667,85.7142857142857
"2015030153","8471227","30",3600,0,0,0,17,14,1,0,13,0,16,1,"W",82.3529411764706,100,81.25
"2015030154","8474550","25",3600,0,0,0,30,28,4,1,23,1,25,4,"W",93.3333333333333,100,92
"2015030154","8471227","30",3440,0,0,0,22,19,2,0,17,0,18,4,"L",86.3636363636364,50,94.4444444444444
"2015030155","8471227","30",3895,0,0,0,41,37,4,0,33,0,37,4,"W",90.2439024390244,100,89.1891891891892
"2015030155","8474550","25",3895,0,0,0,24,19,0,0,19,0,24,0,"L",79.1666666666667,NA,79.1666666666667
"2015030156","8470140","25",3600,0,0,0,29,25,5,0,20,0,22,7,"W",86.2068965517241,71.4285714285714,90.9090909090909
"2015030156","8471227","30",3476,0,0,0,24,19,3,0,16,0,20,4,"L",79.1666666666667,75,80
"2014030151","8471227","30",3600,0,0,0,21,19,3,0,16,1,17,3,"W",90.4761904761905,100,94.1176470588235
